 , B1.genotype, B1.batch, B1.cycle, B1.day, B1.hour, B1.time_start, B1.ID.new, B1.behaviour, B1.with.who 
 3318, KO, B1, Dark phase,24,19, 19:22:25, M4, 0, M1 
 3319, KO, B1, Dark phase,24,19, 19:22:25, M1, 0, M4 
 3320, KO, B1, Dark phase,24,19, 19:22:25, M3, 0, M1 
 3321, KO, B1, Dark phase,24,19, 19:22:31, M3, 0, M1 
 3327, KO, B1, Dark phase,24,19, 19:32:25, M1, AFFI, M3 
 3328, KO, B1, Dark phase,24,19, 19:32:25, M3, AFFI, M4 
 3329, KO, B1, Dark phase,24,19, 19:32:25, M4, AFFI, M1 
 3330, KO, B1, Dark phase,24,19, 19:42:25, M1, 0, M3 
 3331, KO, B1, Dark phase,24,19, 19:42:25, M3, 0, M1 
 3340, KO, B1, Dark phase,24,19, 19:52:34, M3, 0, M1 
 3341, KO, B1, Dark phase,24,19, 19:52:38, M3, 0, M1 
 3343, KO, B1, Dark phase,24,19, 19:52:36, M1, 0, M4 
 3348, KO, B1, Dark phase,24,19, 19:52:35, M4, 0, M1 
 3352, KO, B1, Dark phase,24,20, 20:02:25, M2, 0, M1 
 3356, KO, B1, Dark phase,24,20, 20:02:30, M4, 0, M3 
 3358, KO, B1, Dark phase,24,20, 20:02:25, M1, 0, M2 
 3359, KO, B1, Dark phase,24,20, 20:02:38, M1, AGGRO, M3 
 3361, KO, B1, Dark phase,24,20, 20:02:46, M1, AGGRO, M2 
 3365, KO, B1, Dark phase,24,20, 20:12:38, M1, STR.F, M2 
 3368, KO, B1, Dark phase,24,20, 20:12:29, M3, STR.F, M2 
 3369, KO, B1, Dark phase,24,20, 20:12:25, M4, STR.F, M4 
 3370, KO, B1, Dark phase,24,20, 20:12:25, M2, STR.F, M2 
 3373, KO, B1, Dark phase,24,20, 20:22:41, M2, 0, M1 
 3374, KO, B1, Dark phase,24,20, 20:22:25, M3, 0, M1 
 3376, KO, B1, Dark phase,24,20, 20:22:25, M1, 0, M3 
 3378, KO, B1, Dark phase,24,20, 20:22:41, M1, 0, M2 
 3380, KO, B1, Dark phase,24,20, 20:32:37, M3, 0, M1 
 3382, KO, B1, Dark phase,24,20, 20:32:50, M3, 0, M2 
 3383, KO, B1, Dark phase,24,20, 20:32:25, M4, 0, M3 
 3387, KO, B1, Dark phase,24,20, 20:32:38, M2, 0, M3 
 3389, KO, B1, Dark phase,24,20, 20:32:50, M2, 0, M3 
 3391, KO, B1, Dark phase,24,20, 20:32:29, M1, 0, M3 
 3400, KO, B1, Dark phase,24,20, 20:42:39, M1, AGGRO, M4 
 3404, KO, B1, Dark phase,24,20, 20:42:25, M3, 0, M2 
 3406, KO, B1, Dark phase,24,20, 20:42:25, M2, 0, M3 
 3411, KO, B1, Dark phase,24,20, 20:52:35, M1, 0, M2 
 3413, KO, B1, Dark phase,24,20, 20:52:49, M1, 0, M4 
 3415, KO, B1, Dark phase,24,20, 20:52:41, M2, 0, M4 
 3420, KO, B1, Dark phase,24,20, 20:52:40, M4, 0, M1 
