 , B12.genotype, B12.batch, B12.cycle, B12.day, B12.hour, B12.time_start, B12.ID.new, B12.behaviour, B12.with.who 
 25519, KO, B12, Dark phase,23,18, 18:01:07, M40, 0, M37 
 25523, KO, B12, Dark phase,23,18, 18:01:07, M38, 0, M40 
 25524, KO, B12, Dark phase,23,18, 18:01:09, M38, 0, M37 
 25525, KO, B12, Dark phase,23,18, 18:01:11, M38, 0, M37 
 25526, KO, B12, Dark phase,23,18, 18:01:17, M38, 0, M37 
 25527, KO, B12, Dark phase,23,18, 18:00:54, M37, 0, M39 
 25528, KO, B12, Dark phase,23,18, 18:01:09, M37, 0, M38 
 25529, KO, B12, Dark phase,23,18, 18:01:11, M37, 0, M38 
 25530, KO, B12, Dark phase,23,18, 18:00:54, M39, 0, M37 
 25531, KO, B12, Dark phase,23,18, 18:01:09, M39, 0, M37 
 25541, KO, B12, Dark phase,23,18, 18:10:54, M38, 0, M39 
 25543, KO, B12, Dark phase,23,18, 18:11:18, M38, 0, M40 
 25544, KO, B12, Dark phase,23,18, 18:11:20, M38, 0, M39 
 25545, KO, B12, Dark phase,23,18, 18:10:54, M40, 0, M39 
 25546, KO, B12, Dark phase,23,18, 18:10:57, M40, 0, M39 
 25547, KO, B12, Dark phase,23,18, 18:11:00, M40, 0, M39 
 25548, KO, B12, Dark phase,23,18, 18:11:05, M40, 0, M39 
 25551, KO, B12, Dark phase,23,18, 18:11:17, M40, 0, M38 
 25552, KO, B12, Dark phase,23,18, 18:11:20, M40, 0, M39 
 25553, KO, B12, Dark phase,23,18, 18:10:54, M39, 0, M40 
 25554, KO, B12, Dark phase,23,18, 18:10:57, M39, 0, M38 
 25555, KO, B12, Dark phase,23,18, 18:11:00, M39, 0, M40 
 25556, KO, B12, Dark phase,23,18, 18:11:05, M39, 0, M40 
 25558, KO, B12, Dark phase,23,18, 18:11:20, M39, 0, M38 
 25559, KO, B12, Dark phase,23,18, 18:20:54, M38, 0, M39 
 25560, KO, B12, Dark phase,23,18, 18:20:56, M38, STR.F, M39 
 25561, KO, B12, Dark phase,23,18, 18:20:56, M38, 0, M39 
 25562, KO, B12, Dark phase,23,18, 18:21:01, M38, 0, M39 
 25563, KO, B12, Dark phase,23,18, 18:21:05, M38, 0, M39 
 25568, KO, B12, Dark phase,23,18, 18:20:54, M39, 0, M38 
 25569, KO, B12, Dark phase,23,18, 18:20:56, M39, STR.F, M38 
 25570, KO, B12, Dark phase,23,18, 18:20:56, M39, 0, M38 
 25571, KO, B12, Dark phase,23,18, 18:20:58, M39, 0, M38 
 25572, KO, B12, Dark phase,23,18, 18:21:04, M39, 0, M38 
 25573, KO, B12, Dark phase,23,18, 18:21:06, M39, 0, M40 
 25574, KO, B12, Dark phase,23,18, 18:21:10, M39, 0, M37 
