 , B11.genotype, B11.batch, B11.cycle, B11.day, B11.hour, B11.time_start, B11.ID.new, B11.behaviour, B11.with.who 
 20268, KO, B11, Dark phase,16,18, 18:03:57, M33, 0, M34 
 20269, KO, B11, Dark phase,16,18, 18:04:01, M33, STR.F, M34 
 20270, KO, B11, Dark phase,16,18, 18:04:01, M33, 0, M34 
 20271, KO, B11, Dark phase,16,18, 18:04:09, M33, 0, M34 
 20272, KO, B11, Dark phase,16,18, 18:04:11, M33, STR.F, M34 
 20273, KO, B11, Dark phase,16,18, 18:04:11, M33, 0, M34 
 20274, KO, B11, Dark phase,16,18, 18:04:15, M33, STR.F, M34 
 20275, KO, B11, Dark phase,16,18, 18:04:16, M33, 0, M34 
 20276, KO, B11, Dark phase,16,18, 18:04:18, M33, STR.F, M34 
 20277, KO, B11, Dark phase,16,18, 18:04:18, M33, 0, M34 
 20278, KO, B11, Dark phase,16,18, 18:04:24, M33, STR.F, M34 
 20279, KO, B11, Dark phase,16,18, 18:04:24, M33, 0, M34 
 20280, KO, B11, Dark phase,16,18, 18:03:57, M34, 0, M33 
 20281, KO, B11, Dark phase,16,18, 18:04:01, M34, STR.F, M33 
 20282, KO, B11, Dark phase,16,18, 18:04:01, M34, 0, M33 
 20283, KO, B11, Dark phase,16,18, 18:04:11, M34, STR.F, M33 
 20284, KO, B11, Dark phase,16,18, 18:04:11, M34, 0, M33 
 20285, KO, B11, Dark phase,16,18, 18:04:15, M34, STR.F, M33 
 20286, KO, B11, Dark phase,16,18, 18:04:16, M34, 0, M33 
 20287, KO, B11, Dark phase,16,18, 18:04:18, M34, STR.F, M33 
 20288, KO, B11, Dark phase,16,18, 18:04:18, M34, 0, M33 
 20289, KO, B11, Dark phase,16,18, 18:04:24, M34, STR.F, M33 
 20290, KO, B11, Dark phase,16,18, 18:04:24, M34, 0, M33 
 20296, KO, B11, Dark phase,16,18, 18:14:19, M33, 0, M36 
 20297, KO, B11, Dark phase,16,18, 18:14:23, M33, 0, M36 
 20300, KO, B11, Dark phase,16,18, 18:14:03, M36, 0, M35 
 20301, KO, B11, Dark phase,16,18, 18:14:06, M36, 0, M35 
 20302, KO, B11, Dark phase,16,18, 18:14:10, M36, 0, M35 
 20303, KO, B11, Dark phase,16,18, 18:14:12, M36, AGGRO, M35 
 20304, KO, B11, Dark phase,16,18, 18:14:12, M36, 0, M35 
 20305, KO, B11, Dark phase,16,18, 18:14:14, M36, 0, M35 
 20306, KO, B11, Dark phase,16,18, 18:14:15, M36, 0, M35 
 20307, KO, B11, Dark phase,16,18, 18:14:22, M36, 0, M33 
