 , B6.genotype, B6.batch, B6.cycle, B6.day, B6.hour, B6.time_start, B6.ID.new, B6.behaviour, B6.with.who 
 5889, CONT, B6, Light phase,27,17, 17:36:22, M14, 0, M16 
 5890, CONT, B6, Light phase,27,17, 17:36:45, M14, 0, M16 
 5891, CONT, B6, Light phase,27,17, 17:36:22, M15, 0, M13 
 5893, CONT, B6, Light phase,27,17, 17:36:33, M15, 0, M16 
 5894, CONT, B6, Light phase,27,17, 17:36:22, M13, 0, M15 
 5897, CONT, B6, Light phase,27,17, 17:36:22, M16, 0, M14 
 5902, CONT, B6, Light phase,27,17, 17:46:28, M13, AGGRO, M15 
 5904, CONT, B6, Light phase,27,17, 17:46:43, M13, 0, M15 
 5907, CONT, B6, Light phase,27,17, 17:46:28, M14, 0, M13 
 5908, CONT, B6, Light phase,27,17, 17:46:30, M14, 0, M15 
 5912, CONT, B6, Light phase,27,17, 17:46:28, M15, AGGRO, M13 
 5915, CONT, B6, Light phase,27,17, 17:56:33, M14, 0, M16 
 5919, CONT, B6, Light phase,27,17, 17:56:36, M13, 0, M14 
 5923, CONT, B6, Light phase,27,17, 17:56:33, M16, 0, M14 
 5924, CONT, B6, Light phase,27,17, 17:56:37, M16, 0, M14 
 5927, CONT, B6, Dark phase,27,18, 18:06:37, M15, 0, M13 
 5930, CONT, B6, Dark phase,27,18, 18:06:27, M13, 0, M16 
 5932, CONT, B6, Dark phase,27,18, 18:06:37, M13, 0, M15 
 5934, CONT, B6, Dark phase,27,18, 18:06:22, M16, 0, M14 
 5937, CONT, B6, Dark phase,27,18, 18:06:49, M16, 0, M14 
 5938, CONT, B6, Dark phase,27,18, 18:06:22, M14, 0, M16 
 5940, CONT, B6, Dark phase,27,18, 18:06:48, M14, 0, M16 
 5941, CONT, B6, Dark phase,27,18, 18:16:22, M16, 0, M15 
 5943, CONT, B6, Dark phase,27,18, 18:16:22, M13, 0, M16 
 5947, CONT, B6, Dark phase,27,18, 18:16:47, M13, 0, M14 
 5948, CONT, B6, Dark phase,27,18, 18:16:48, M13, 0, M15 
 5949, CONT, B6, Dark phase,27,18, 18:16:22, M15, 0, M16 
 5955, CONT, B6, Dark phase,27,18, 18:16:47, M14, 0, M13 
 5959, CONT, B6, Dark phase,27,18, 18:26:42, M15, AGGRO, M14 
 5960, CONT, B6, Dark phase,27,18, 18:26:44, M15, 0, M14 
 5961, CONT, B6, Dark phase,27,18, 18:26:22, M14, STR.G, M16 
 5963, CONT, B6, Dark phase,27,18, 18:26:42, M14, AGGRO, M15 
 5964, CONT, B6, Dark phase,27,18, 18:26:44, M14, 0, M15 
 5965, CONT, B6, Dark phase,27,18, 18:26:22, M16, 0, M14 
 5968, CONT, B6, Dark phase,27,18, 18:26:22, M13, 0, M16 
 5974, CONT, B6, Dark phase,27,18, 18:36:37, M15, 0, M14 
 5975, CONT, B6, Dark phase,27,18, 18:36:22, M14, 0, M16 
 5976, CONT, B6, Dark phase,27,18, 18:36:40, M14, 0, M16 
 5977, CONT, B6, Dark phase,27,18, 18:36:42, M14, 0, M16 
 5978, CONT, B6, Dark phase,27,18, 18:36:22, M16, 0, M14 
 5979, CONT, B6, Dark phase,27,18, 18:36:40, M16, 0, M14 
 5980, CONT, B6, Dark phase,27,18, 18:36:42, M16, 0, M16 
 5983, CONT, B6, Dark phase,27,18, 18:46:28, M14, STR.G, M16 
 5985, CONT, B6, Dark phase,27,18, 18:46:28, M16, 0, M14 
 5990, CONT, B6, Dark phase,27,18, 18:56:22, M15, 0, M14 
 5991, CONT, B6, Dark phase,27,18, 18:56:31, M15, 0, M14 
 5992, CONT, B6, Dark phase,27,18, 18:56:36, M15, 0, M14 
 5994, CONT, B6, Dark phase,27,18, 18:56:22, M14, AFFI, M13 
 5995, CONT, B6, Dark phase,27,18, 18:56:32, M14, 0, M15 
 5996, CONT, B6, Dark phase,27,18, 18:56:36, M14, 0, M15 
 5997, CONT, B6, Dark phase,27,18, 18:56:22, M13, 0, M15 
 6004, CONT, B6, Dark phase,27,19, 19:06:40, M13, 0, M14 
 6005, CONT, B6, Dark phase,27,19, 19:06:48, M13, STR.F, M14 
 6007, CONT, B6, Dark phase,27,19, 19:06:40, M14, 0, M13 
 6008, CONT, B6, Dark phase,27,19, 19:06:48, M14, STR.F, M13 
 6013, CONT, B6, Dark phase,27,19, 19:16:22, M16, 0, M15 
 6014, CONT, B6, Dark phase,27,19, 19:16:35, M16, 0, M14 
 6017, CONT, B6, Dark phase,27,19, 19:16:22, M14, 0, M16 
 6018, CONT, B6, Dark phase,27,19, 19:16:35, M14, 0, M16 
 6022, CONT, B6, Dark phase,27,19, 19:26:24, M13, AGGRO, M15 
 6025, CONT, B6, Dark phase,27,19, 19:26:22, M16, 0, M14 
 6027, CONT, B6, Dark phase,27,19, 19:26:49, M16, 0, M15 
 6029, CONT, B6, Dark phase,27,19, 19:26:24, M15, 0, M14 
 6030, CONT, B6, Dark phase,27,19, 19:26:45, M15, 0, M16 
 6031, CONT, B6, Dark phase,27,19, 19:26:49, M15, 0, M16 
 6032, CONT, B6, Dark phase,27,19, 19:26:22, M14, 0, M16 
 6033, CONT, B6, Dark phase,27,19, 19:26:41, M14, 0, M16 
 6035, CONT, B6, Dark phase,27,19, 19:36:27, M13, 0, M16 
 6036, CONT, B6, Dark phase,27,19, 19:36:28, M13, 0, M16 
 6038, CONT, B6, Dark phase,27,19, 19:36:31, M14, AGGRO, M15 
 6039, CONT, B6, Dark phase,27,19, 19:36:32, M14, 0, M15 
 6040, CONT, B6, Dark phase,27,19, 19:36:33, M14, 0, M13 
 6041, CONT, B6, Dark phase,27,19, 19:36:22, M16, 0, M15 
 6042, CONT, B6, Dark phase,27,19, 19:36:25, M16, 0, M15 
 6043, CONT, B6, Dark phase,27,19, 19:36:29, M16, 0, M15 
 6044, CONT, B6, Dark phase,27,19, 19:36:34, M16, 0, M15 
 6046, CONT, B6, Dark phase,27,19, 19:36:22, M15, 0, M16 
 6047, CONT, B6, Dark phase,27,19, 19:36:25, M15, 0, M16 
 6048, CONT, B6, Dark phase,27,19, 19:36:29, M15, AGGRO, M14 
 6049, CONT, B6, Dark phase,27,19, 19:36:32, M15, 0, M14 
 6050, CONT, B6, Dark phase,27,19, 19:36:33, M15, 0, M16 
 6051, CONT, B6, Dark phase,27,19, 19:36:36, M15, 0, M14 
 6052, CONT, B6, Dark phase,27,19, 19:46:22, M14, 0, M13 
 6057, CONT, B6, Dark phase,27,19, 19:46:22, M16, 0, M14 
 6058, CONT, B6, Dark phase,27,19, 19:46:35, M16, 0, M14 
 6059, CONT, B6, Dark phase,27,19, 19:46:38, M16, 0, M14 
 6060, CONT, B6, Dark phase,27,19, 19:46:45, M16, 0, M14 
 6062, CONT, B6, Dark phase,27,19, 19:46:37, M13, 0, M16 
 6063, CONT, B6, Dark phase,27,19, 19:56:22, M14, 0, M13 
 6064, CONT, B6, Dark phase,27,19, 19:56:22, M13, 0, M14 
 6065, CONT, B6, Dark phase,27,19, 19:56:28, M13, 0, M14 
 6066, CONT, B6, Dark phase,27,19, 19:56:22, M15, 0, M16 
 6068, CONT, B6, Dark phase,27,19, 19:56:22, M16, 0, M15 
 6075, CONT, B6, Dark phase,27,20, 20:16:22, M15, 0, M14 
 6076, CONT, B6, Dark phase,27,20, 20:16:22, M14, 0, M15 
 6083, CONT, B6, Dark phase,27,20, 20:26:22, M16, 0, M15 
 6084, CONT, B6, Dark phase,27,20, 20:26:32, M16, 0, M13 
 6086, CONT, B6, Dark phase,27,20, 20:26:46, M16, 0, M15 
 6087, CONT, B6, Dark phase,27,20, 20:26:22, M15, 0, M16 
 6088, CONT, B6, Dark phase,27,20, 20:26:40, M15, 0, M16 
 6095, CONT, B6, Dark phase,27,20, 20:36:22, M14, 0, M13 
 6096, CONT, B6, Dark phase,27,20, 20:36:27, M14, 0, M13 
 6097, CONT, B6, Dark phase,27,20, 20:36:38, M14, 0, M13 
 6098, CONT, B6, Dark phase,27,20, 20:36:22, M15, STR.G, M13 
 6099, CONT, B6, Dark phase,27,20, 20:36:22, M13, 0, M15 
 6102, CONT, B6, Dark phase,27,20, 20:46:33, M16, 0, M14 
 6103, CONT, B6, Dark phase,27,20, 20:46:39, M16, 0, M14 
 6105, CONT, B6, Dark phase,27,20, 20:46:33, M14, 0, M16 
 6114, CONT, B6, Dark phase,27,20, 20:56:22, M15, AFFI, M16 
 6115, CONT, B6, Dark phase,27,20, 20:56:26, M15, 0, M16 
 6116, CONT, B6, Dark phase,27,20, 20:56:22, M13, AFFI, M16 
 6117, CONT, B6, Dark phase,27,20, 20:56:22, M16, 0, M15 
 6118, CONT, B6, Dark phase,27,20, 20:56:26, M16, STR.G, M15 
 6121, CONT, B6, Dark phase,27,21, 21:06:23, M13, AFFI, M16 
 6122, CONT, B6, Dark phase,27,21, 21:06:23, M16, 0, M13 
 6123, CONT, B6, Dark phase,27,21, 21:06:23, M15, 0, M16 
 6125, CONT, B6, Dark phase,27,21, 21:16:25, M16, 0, M13 
 6127, CONT, B6, Dark phase,27,21, 21:16:31, M16, 0, M15 
 6128, CONT, B6, Dark phase,27,21, 21:16:39, M16, STR.F, M15 
 6130, CONT, B6, Dark phase,27,21, 21:16:31, M15, 0, M16 
 6131, CONT, B6, Dark phase,27,21, 21:16:39, M15, STR.F, M16 
 6133, CONT, B6, Dark phase,27,21, 21:16:27, M14, 0, M13 
 6135, CONT, B6, Dark phase,27,21, 21:16:27, M13, 0, M14 
 6136, CONT, B6, Dark phase,27,21, 21:26:23, M15, 0, M13 
 6138, CONT, B6, Dark phase,27,21, 21:26:23, M13, 0, M15 
 6140, CONT, B6, Dark phase,27,21, 21:26:34, M13, 0, M16 
 6141, CONT, B6, Dark phase,27,21, 21:26:23, M16, STR.F, M14 
 6142, CONT, B6, Dark phase,27,21, 21:26:25, M16, 0, M14 
 6143, CONT, B6, Dark phase,27,21, 21:26:34, M16, 0, M13 
 6144, CONT, B6, Dark phase,27,21, 21:26:23, M14, STR.F, M16 
 6145, CONT, B6, Dark phase,27,21, 21:26:25, M14, 0, M16 
 6152, CONT, B6, Dark phase,27,21, 21:36:40, M14, 0, M15 
 6155, CONT, B6, Dark phase,27,21, 21:36:40, M15, 0, M14 
 6162, CONT, B6, Dark phase,27,21, 21:46:23, M16, 0, M15 
 6163, CONT, B6, Dark phase,27,21, 21:46:31, M16, STR.G, M13 
 6164, CONT, B6, Dark phase,27,21, 21:46:37, M16, 0, M13 
 6165, CONT, B6, Dark phase,27,21, 21:46:43, M16, 0, M15 
 6167, CONT, B6, Dark phase,27,21, 21:46:49, M16, 0, M14 
 6170, CONT, B6, Dark phase,27,21, 21:46:31, M13, 0, M16 
 6171, CONT, B6, Dark phase,27,21, 21:46:37, M13, 0, M16 
 6172, CONT, B6, Dark phase,27,21, 21:46:23, M15, 0, M16 
 6174, CONT, B6, Dark phase,27,21, 21:46:43, M15, STR.G, M16 
 6175, CONT, B6, Dark phase,27,21, 21:46:47, M15, 0, M13 
 6176, CONT, B6, Dark phase,28,5, 05:46:24, M15, AFFI, M13 
 6177, CONT, B6, Dark phase,28,5, 05:46:24, M13, AFFI, M15 
