 , B8.genotype, B8.batch, B8.cycle, B8.day, B8.hour, B8.time_start, B8.ID.new, B8.behaviour, B8.with.who 
 14471, KO, B8, Dark phase,15,18, 18:02:21, M24, 0, M23 
 14473, KO, B8, Dark phase,15,18, 18:02:38, M24, AGGRO, M23 
 14478, KO, B8, Dark phase,15,18, 18:02:21, M23, 0, M24 
 14480, KO, B8, Dark phase,15,18, 18:02:36, M23, 0, M22 
 14481, KO, B8, Dark phase,15,18, 18:02:38, M23, 0, M22 
 14483, KO, B8, Dark phase,15,18, 18:02:45, M23, AGGRO, M21 
 14485, KO, B8, Dark phase,15,18, 18:02:47, M23, AGGRO, M22 
 14487, KO, B8, Dark phase,15,18, 18:02:34, M22, 0, M23 
 14488, KO, B8, Dark phase,15,18, 18:02:38, M22, 0, M23 
 14491, KO, B8, Dark phase,15,18, 18:02:47, M22, AGGRO, M23 
 14495, KO, B8, Dark phase,15,18, 18:02:39, M21, AGGRO, M22 
 14499, KO, B8, Dark phase,15,18, 18:02:45, M21, AGGRO, M23 
 14502, KO, B8, Dark phase,15,18, 18:12:38, M24, 0, M22 
 14505, KO, B8, Dark phase,15,18, 18:12:36, M22, 0, M24 
 14507, KO, B8, Dark phase,15,18, 18:12:45, M22, 0, M21 
 14508, KO, B8, Dark phase,15,18, 18:12:18, M23, 0, M21 
 14509, KO, B8, Dark phase,15,18, 18:12:21, M23, 0, M21 
 14510, KO, B8, Dark phase,15,18, 18:12:18, M21, 0, M23 
 14511, KO, B8, Dark phase,15,18, 18:12:46, M21, 0, M22 
 14514, KO, B8, Dark phase,15,18, 18:22:30, M23, AGGRO, M22 
 14517, KO, B8, Dark phase,15,18, 18:22:37, M23, AGGRO, M24 
 14526, KO, B8, Dark phase,15,18, 18:22:21, M22, 0, M24 
 14527, KO, B8, Dark phase,15,18, 18:22:26, M22, STR.F, M24 
 14529, KO, B8, Dark phase,15,18, 18:22:30, M22, AGGRO, M23 
 14531, KO, B8, Dark phase,15,18, 18:22:31, M22, 0, M24 
 14534, KO, B8, Dark phase,15,18, 18:22:21, M24, 0, M22 
 14535, KO, B8, Dark phase,15,18, 18:22:26, M24, STR.F, M22 
 14537, KO, B8, Dark phase,15,18, 18:22:31, M24, 0, M22 
 14538, KO, B8, Dark phase,15,18, 18:22:36, M24, 0, M23 
 14539, KO, B8, Dark phase,15,18, 18:22:37, M24, AGGRO, M23 
 14543, KO, B8, Dark phase,15,18, 18:32:34, M22, 0, M21 
 14544, KO, B8, Dark phase,15,18, 18:32:38, M22, 0, M23 
 14548, KO, B8, Dark phase,15,18, 18:32:26, M21, 0, M24 
 14549, KO, B8, Dark phase,15,18, 18:32:29, M21, STR.F, M24 
 14550, KO, B8, Dark phase,15,18, 18:32:31, M21, 0, M24 
 14551, KO, B8, Dark phase,15,18, 18:32:35, M21, 0, M22 
 14553, KO, B8, Dark phase,15,18, 18:32:43, M21, 0, M24 
 14554, KO, B8, Dark phase,15,18, 18:32:18, M23, 0, M24 
 14555, KO, B8, Dark phase,15,18, 18:32:23, M23, 0, M24 
 14556, KO, B8, Dark phase,15,18, 18:32:26, M23, 0, M21 
 14557, KO, B8, Dark phase,15,18, 18:32:29, M23, STR.F, M21 
 14558, KO, B8, Dark phase,15,18, 18:32:31, M23, 0, M21 
 14559, KO, B8, Dark phase,15,18, 18:32:32, M23, STR.F, M24 
 14560, KO, B8, Dark phase,15,18, 18:32:32, M23, 0, M21 
 14561, KO, B8, Dark phase,15,18, 18:32:34, M23, 0, M21 
 14562, KO, B8, Dark phase,15,18, 18:32:37, M23, 0, M24 
 14565, KO, B8, Dark phase,15,18, 18:32:18, M24, 0, M23 
 14566, KO, B8, Dark phase,15,18, 18:32:23, M24, 0, M23 
 14567, KO, B8, Dark phase,15,18, 18:32:26, M24, 0, M21 
 14568, KO, B8, Dark phase,15,18, 18:32:32, M24, STR.F, M23 
 14569, KO, B8, Dark phase,15,18, 18:32:32, M24, 0, M21 
 14570, KO, B8, Dark phase,15,18, 18:32:34, M24, 0, M21 
 14572, KO, B8, Dark phase,15,18, 18:32:42, M24, 0, M21 
 14577, KO, B8, Dark phase,15,18, 18:42:38, M22, 0, M24 
 14578, KO, B8, Dark phase,15,18, 18:42:43, M22, AGGRO, M24 
 14579, KO, B8, Dark phase,15,18, 18:42:43, M22, 0, M24 
 14580, KO, B8, Dark phase,15,18, 18:42:18, M21, 0, M23 
 14584, KO, B8, Dark phase,15,18, 18:42:38, M21, 0, M23 
 14587, KO, B8, Dark phase,15,18, 18:42:28, M23, AGGRO, M24 
 14588, KO, B8, Dark phase,15,18, 18:42:28, M23, 0, M24 
 14590, KO, B8, Dark phase,15,18, 18:42:37, M23, 0, M21 
 14594, KO, B8, Dark phase,15,18, 18:42:28, M24, 0, M23 
 14596, KO, B8, Dark phase,15,18, 18:42:38, M24, 0, M22 
