 , B2.genotype, B2.batch, B2.cycle, B2.day, B2.hour, B2.time_start, B2.ID.new, B2.behaviour, B2.with.who 
 1900, CONT, B2, Dark phase,31,18, 18:01:05, M7, 0, M6 
 1901, CONT, B2, Dark phase,31,18, 18:01:05, M6, 0, M7 
 1902, CONT, B2, Dark phase,31,18, 18:01:05, M5, 0, M8 
 1904, CONT, B2, Dark phase,31,18, 18:01:05, M8, 0, M5 
 1906, CONT, B2, Dark phase,31,18, 18:01:31, M8, 0, M7 
 1912, CONT, B2, Dark phase,31,18, 18:11:20, M8, STR.F, M6 
 1913, CONT, B2, Dark phase,31,18, 18:11:05, M5, 0, M8 
 1916, CONT, B2, Dark phase,31,18, 18:11:05, M6, 0, M5 
 1918, CONT, B2, Dark phase,31,18, 18:21:05, M5, 0, M8 
 1921, CONT, B2, Dark phase,31,18, 18:21:11, M8, 0, M6 
 1922, CONT, B2, Dark phase,31,18, 18:21:18, M8, 0, M6 
 1923, CONT, B2, Dark phase,31,18, 18:21:05, M6, 0, M8 
 1926, CONT, B2, Dark phase,31,18, 18:31:26, M5, 0, M6 
 1930, CONT, B2, Dark phase,31,18, 18:31:29, M7, 0, M8 
 1933, CONT, B2, Dark phase,31,18, 18:31:30, M8, 0, M7 
 1937, CONT, B2, Dark phase,31,18, 18:41:05, M8, 0, M5 
 1938, CONT, B2, Dark phase,31,18, 18:41:05, M5, 0, M8 
 1939, CONT, B2, Dark phase,31,18, 18:41:28, M5, 0, M8 
 1940, CONT, B2, Dark phase,31,18, 18:41:05, M6, 0, M8 
 1944, CONT, B2, Dark phase,31,18, 18:51:05, M5, 0, M6 
 1945, CONT, B2, Dark phase,31,18, 18:51:05, M6, 0, M5 
 1946, CONT, B2, Dark phase,31,19, 19:01:05, M5, 0, M8 
 1947, CONT, B2, Dark phase,31,19, 19:01:05, M8, 0, M5 
 1948, CONT, B2, Dark phase,31,19, 19:01:05, M6, 0, M7 
 1950, CONT, B2, Dark phase,31,19, 19:01:05, M7, 0, M6 
 1952, CONT, B2, Dark phase,31,19, 19:11:05, M5, 0, M8 
 1956, CONT, B2, Dark phase,31,19, 19:11:05, M6, 0, M8 
 1957, CONT, B2, Dark phase,31,19, 19:11:22, M6, STR.F, M8 
 1960, CONT, B2, Dark phase,31,19, 19:21:05, M5, 0, M7 
 1961, CONT, B2, Dark phase,31,19, 19:21:16, M5, 0, M7 
 1963, CONT, B2, Dark phase,31,19, 19:21:05, M7, 0, M5 
 1964, CONT, B2, Dark phase,31,19, 19:31:05, M5, 0, M6 
 1965, CONT, B2, Dark phase,31,19, 19:31:05, M6, 0, M5 
 1966, CONT, B2, Dark phase,31,19, 19:31:05, M7, 0, M8 
 1968, CONT, B2, Dark phase,31,19, 19:31:05, M8, 0, M7 
 1969, CONT, B2, Dark phase,31,19, 19:31:26, M8, 0, M7 
 1971, CONT, B2, Dark phase,31,19, 19:41:19, M5, 0, M6 
 1974, CONT, B2, Dark phase,31,19, 19:41:20, M6, 0, M5 
 1975, CONT, B2, Dark phase,31,19, 19:41:29, M6, 0, M5 
 1981, CONT, B2, Dark phase,31,19, 19:51:05, M7, 0, M8 
 1982, CONT, B2, Dark phase,31,19, 19:51:05, M5, 0, M8 
 1983, CONT, B2, Dark phase,31,19, 19:51:05, M8, 0, M5 
 1985, CONT, B2, Dark phase,31,20, 20:01:05, M7, 0, M5 
 1986, CONT, B2, Dark phase,31,20, 20:01:05, M5, AFFI, M7 
 1987, CONT, B2, Dark phase,31,20, 20:01:05, M8, AFFI, M5 
 1990, CONT, B2, Dark phase,31,20, 20:11:05, M5, 0, M7 
 1991, CONT, B2, Dark phase,31,20, 20:11:20, M5, 0, M6 
 1992, CONT, B2, Dark phase,31,20, 20:11:29, M5, 0, M5 
 1993, CONT, B2, Dark phase,31,20, 20:11:05, M6, 0, M6 
 1996, CONT, B2, Dark phase,31,20, 20:11:16, M7, 0, M8 
 2000, CONT, B2, Dark phase,31,20, 20:21:27, M5, 0, M6 
 2001, CONT, B2, Dark phase,31,20, 20:21:05, M8, 0, M5 
 2002, CONT, B2, Dark phase,31,20, 20:21:22, M8, AGGRO, M8 
 2004, CONT, B2, Dark phase,31,20, 20:21:05, M6, 0, M8 
 2005, CONT, B2, Dark phase,31,20, 20:21:13, M6, 0, M5 
 2007, CONT, B2, Dark phase,31,20, 20:31:20, M7, 0, M7 
 2009, CONT, B2, Dark phase,31,20, 20:31:20, M5, 0, M8 
 2010, CONT, B2, Dark phase,31,20, 20:31:05, M6, STR.F, M6 
 2012, CONT, B2, Dark phase,31,20, 20:31:05, M8, STR.F, M6 
 2015, CONT, B2, Dark phase,31,20, 20:41:05, M8, 0, M7 
 2017, CONT, B2, Dark phase,31,20, 20:41:05, M6, 0, M8 
 2018, CONT, B2, Dark phase,31,20, 20:41:05, M7, 0, M5 
 2023, CONT, B2, Dark phase,31,20, 20:51:20, M8, 0, M6 
 2026, CONT, B2, Dark phase,31,20, 20:51:13, M7, 0, M7 
 2029, CONT, B2, Dark phase,31,21, 21:01:18, M5, STR.G, M6 
 2030, CONT, B2, Dark phase,31,21, 21:01:05, M7, 0, M5 
 2031, CONT, B2, Dark phase,31,21, 21:01:17, M7, STR.G, M7 
 2035, CONT, B2, Dark phase,31,21, 21:01:15, M8, 0, M7 
 2038, CONT, B2, Dark phase,31,21, 21:11:19, M5, 0, M6 
 2039, CONT, B2, Dark phase,31,21, 21:11:05, M7, 0, M8 
 2040, CONT, B2, Dark phase,31,21, 21:11:16, M7, 0, M7 
 2043, CONT, B2, Dark phase,31,21, 21:11:17, M8, 0, M7 
 2047, CONT, B2, Dark phase,31,21, 21:31:05, M5, AFFI, M8 
 2048, CONT, B2, Dark phase,31,21, 21:31:05, M8, AFFI, M5 
 2049, CONT, B2, Dark phase,31,21, 21:31:05, M7, STR.F, M6 
 2050, CONT, B2, Dark phase,31,21, 21:31:05, M6, STR.F, M7 
 2054, CONT, B2, Dark phase,31,21, 21:41:05, M8, 0, M5 
 2055, CONT, B2, Dark phase,31,21, 21:41:05, M5, 0, M8 
 2056, CONT, B2, Dark phase,31,21, 21:51:05, M6, AFFI, M5 
 2057, CONT, B2, Dark phase,31,21, 21:51:05, M5, 0, M8 
 2058, CONT, B2, Dark phase,31,21, 21:51:12, M5, AFFI, M8 
 2059, CONT, B2, Dark phase,31,21, 21:51:05, M8, 0, M7 
 2060, CONT, B2, Dark phase,31,21, 21:51:05, M7, 0, M8 
 2061, CONT, B2, Dark phase,31,22, 22:01:05, M6, 0, M7 
 2063, CONT, B2, Dark phase,31,22, 22:01:05, M7, 0, M6 
 2065, CONT, B2, Dark phase,31,22, 22:01:05, M8, 0, M5 
 2066, CONT, B2, Dark phase,31,22, 22:01:05, M5, 0, M8 
 2069, CONT, B2, Light phase,32,6, 06:01:07, M8, 0, M5 
 2072, CONT, B2, Light phase,32,6, 06:01:07, M5, STR.G, M7 
 2073, CONT, B2, Light phase,32,6, 06:01:07, M7, STR.G, M5 
 2076, CONT, B2, Light phase,32,6, 06:11:20, M6, 0, M8 
 2077, CONT, B2, Light phase,32,6, 06:11:01, M8, 0, M7 
 2078, CONT, B2, Light phase,32,6, 06:11:18, M8, 0, M5 
 2079, CONT, B2, Light phase,32,6, 06:11:30, M8, 0, M6 
 2080, CONT, B2, Light phase,32,6, 06:11:01, M7, 0, M8 
 2084, CONT, B2, Light phase,32,6, 06:21:07, M8, 0, M7 
 2085, CONT, B2, Light phase,32,6, 06:21:07, M7, 0, M8 
 2087, CONT, B2, Light phase,32,6, 06:31:13, M6, 0, M7 
 2088, CONT, B2, Light phase,32,6, 06:31:07, M8, 0, M7 
 2089, CONT, B2, Light phase,32,6, 06:31:07, M7, AFFI, M5 
 2090, CONT, B2, Light phase,32,6, 06:31:07, M5, AFFI, M7 
 2092, CONT, B2, Light phase,32,6, 06:41:07, M7, AFFI, M8 
 2093, CONT, B2, Light phase,32,6, 06:41:07, M8, AFFI, M7 
 2094, CONT, B2, Light phase,32,6, 06:41:07, M6, AFFI, M8 
 2095, CONT, B2, Light phase,32,6, 06:51:07, M5, AFFI, M6 
 2096, CONT, B2, Light phase,32,6, 06:51:07, M7, AFFI, M5 
 2097, CONT, B2, Light phase,32,6, 06:51:07, M8, AFFI, M5 
 2098, CONT, B2, Light phase,32,6, 06:51:07, M6, AFFI, M5 
 2099, CONT, B2, Light phase,32,7, 07:01:07, M5, AFFI, M6 
 2100, CONT, B2, Light phase,32,7, 07:01:07, M7, AFFI, M5 
 2101, CONT, B2, Light phase,32,7, 07:01:07, M8, AFFI, M5 
 2102, CONT, B2, Light phase,32,7, 07:01:07, M6, AFFI, M5 
 2103, CONT, B2, Light phase,32,7, 07:11:07, M5, AFFI, M6 
 2104, CONT, B2, Light phase,32,7, 07:11:07, M7, AFFI, M5 
 2105, CONT, B2, Light phase,32,7, 07:11:07, M8, AFFI, M5 
 2106, CONT, B2, Light phase,32,7, 07:11:07, M6, AFFI, M5 
 2107, CONT, B2, Light phase,32,7, 07:21:07, M5, AFFI, M6 
 2108, CONT, B2, Light phase,32,7, 07:21:07, M7, AFFI, M5 
 2109, CONT, B2, Light phase,32,7, 07:21:07, M8, AFFI, M5 
 2110, CONT, B2, Light phase,32,7, 07:21:07, M6, AFFI, M5 
 2111, CONT, B2, Light phase,32,7, 07:31:07, M5, 0, M6 
 2112, CONT, B2, Light phase,32,7, 07:31:07, M6, 0, M5 
 2113, CONT, B2, Light phase,32,7, 07:31:07, M8, AFFI, M5 
 2114, CONT, B2, Light phase,32,7, 07:31:07, M7, AFFI, M5 
 2116, CONT, B2, Light phase,32,7, 07:41:18, M8, 0, M5 
 2117, CONT, B2, Light phase,32,7, 07:41:07, M5, 0, M6 
 2119, CONT, B2, Light phase,32,7, 07:41:07, M7, 0, M5 
 2120, CONT, B2, Light phase,32,7, 07:41:07, M6, 0, M5 
 2122, CONT, B2, Light phase,32,7, 07:51:07, M5, STR.G, M7 
 2123, CONT, B2, Light phase,32,7, 07:51:07, M7, STR.G, M6 
 2124, CONT, B2, Light phase,32,7, 07:51:07, M6, 0, M5 
 2126, CONT, B2, Light phase,32,8, 08:01:07, M7, AFFI, M6 
 2127, CONT, B2, Light phase,32,8, 08:01:07, M6, AFFI, M5 
 2128, CONT, B2, Light phase,32,8, 08:01:07, M5, AFFI, M7 
 2130, CONT, B2, Light phase,32,8, 08:11:07, M7, AFFI, M6 
 2131, CONT, B2, Light phase,32,8, 08:11:07, M6, AFFI, M5 
 2132, CONT, B2, Light phase,32,8, 08:11:07, M5, AFFI, M7 
 2134, CONT, B2, Light phase,32,8, 08:21:07, M7, 0, M5 
 2135, CONT, B2, Light phase,32,8, 08:21:07, M5, 0, M6 
 2136, CONT, B2, Light phase,32,8, 08:21:07, M6, 0, M6 
 2137, CONT, B2, Light phase,32,8, 08:31:07, M7, 0, M5 
 2138, CONT, B2, Light phase,32,8, 08:31:07, M5, 0, M6 
 2139, CONT, B2, Light phase,32,8, 08:31:07, M6, AFFI, M5 
 2140, CONT, B2, Light phase,32,8, 08:31:07, M8, AFFI, M5 
 2141, CONT, B2, Light phase,32,8, 08:41:07, M7, 0, M5 
 2142, CONT, B2, Light phase,32,8, 08:41:07, M5, AFFI, M6 
 2143, CONT, B2, Light phase,32,8, 08:41:07, M6, AFFI, M8 
 2144, CONT, B2, Light phase,32,8, 08:41:07, M8, AFFI, M6 
 2146, CONT, B2, Light phase,32,8, 08:51:07, M5, AFFI, M6 
 2147, CONT, B2, Light phase,32,8, 08:51:07, M6, AFFI, M8 
 2148, CONT, B2, Light phase,32,8, 08:51:07, M8, AFFI, M5 
 2149, CONT, B2, Light phase,32,9, 09:01:07, M7, 0, M5 
 2150, CONT, B2, Light phase,32,9, 09:01:07, M8, AFFI, M5 
 2151, CONT, B2, Light phase,32,9, 09:01:07, M5, AFFI, M6 
 2152, CONT, B2, Light phase,32,9, 09:01:07, M6, AFFI, M5 
 2156, CONT, B2, Light phase,32,9, 09:11:07, M5, AFFI, M6 
 2157, CONT, B2, Light phase,32,9, 09:11:07, M7, AFFI, M5 
 2161, CONT, B2, Light phase,32,9, 09:31:07, M7, AFFI, M8 
 2162, CONT, B2, Light phase,32,9, 09:31:07, M8, AFFI, M7 
 2165, CONT, B2, Light phase,32,9, 09:31:07, M7, AFFI, M8 
 2166, CONT, B2, Light phase,32,9, 09:31:07, M8, AFFI, M7 
 2167, CONT, B2, Light phase,32,9, 09:51:07, M5, AFFI, M6 
 2168, CONT, B2, Light phase,32,9, 09:51:07, M7, AFFI, M5 
 2169, CONT, B2, Light phase,32,9, 09:51:07, M8, AFFI, M5 
 2170, CONT, B2, Light phase,32,9, 09:51:07, M6, AFFI, M5 
 2171, CONT, B2, Light phase,32,10, 10:01:07, M8, AFFI, M5 
 2174, CONT, B2, Light phase,32,10, 10:01:07, M5, AFFI, M7 
 2175, CONT, B2, Light phase,32,10, 10:01:07, M7, AFFI, M5 
 2176, CONT, B2, Light phase,32,10, 10:01:07, M6, AFFI, M7 
 2179, CONT, B2, Dark phase,32,18, 18:11:28, M7, 0, M5 
 2182, CONT, B2, Dark phase,32,18, 18:11:27, M5, 0, M7 
 2185, CONT, B2, Dark phase,32,18, 18:21:09, M8, STR.F, M5 
 2186, CONT, B2, Dark phase,32,18, 18:21:09, M7, STR.F, M5 
 2187, CONT, B2, Dark phase,32,18, 18:21:09, M5, STR.F, M6 
 2188, CONT, B2, Dark phase,32,18, 18:21:09, M6, STR.F, M5 
 2191, CONT, B2, Dark phase,32,18, 18:31:09, M6, AGGRO, M5 
 2194, CONT, B2, Dark phase,32,18, 18:31:32, M6, 0, M5 
 2195, CONT, B2, Dark phase,32,18, 18:31:09, M5, 0, M6 
 2197, CONT, B2, Dark phase,32,18, 18:31:17, M5, 0, M6 
 2199, CONT, B2, Dark phase,32,18, 18:41:22, M5, 0, M8 
 2200, CONT, B2, Dark phase,32,18, 18:41:09, M8, 0, M6 
 2201, CONT, B2, Dark phase,32,18, 18:41:09, M6, 0, M8 
 2203, CONT, B2, Dark phase,32,18, 18:41:30, M6, STR.F, M7 
 2205, CONT, B2, Dark phase,32,18, 18:41:29, M7, STR.F, M6 
 2207, CONT, B2, Dark phase,32,18, 18:51:09, M5, 0, M6 
 2209, CONT, B2, Dark phase,32,18, 18:51:17, M7, 0, M8 
 2211, CONT, B2, Dark phase,32,18, 18:51:09, M6, 0, M7 
 2212, CONT, B2, Dark phase,32,19, 19:01:09, M5, 0, M6 
 2213, CONT, B2, Dark phase,32,19, 19:01:09, M6, STR.G, M5 
 2214, CONT, B2, Dark phase,32,19, 19:01:27, M6, STR.G, M5 
 2215, CONT, B2, Dark phase,32,19, 19:01:22, M8, STR.G, M5 
 2216, CONT, B2, Dark phase,32,19, 19:01:27, M8, 0, M5 
 2217, CONT, B2, Dark phase,32,19, 19:01:09, M7, 0, M5 
 2218, CONT, B2, Dark phase,32,19, 19:01:09, M7, STR.G, M5 
 2222, CONT, B2, Dark phase,32,19, 19:11:17, M6, 0, M8 
 2224, CONT, B2, Dark phase,32,19, 19:11:17, M8, 0, M6 
 2228, CONT, B2, Dark phase,32,19, 19:21:09, M7, 0, M6 
