 , B9.genotype, B9.batch, B9.cycle, B9.day, B9.hour, B9.time_start, B9.ID.new, B9.behaviour, B9.with.who 
 18087, KO, B9, Dark phase,22,18, 18:00:56, M26, STR.F, M25 
 18088, KO, B9, Dark phase,22,18, 18:00:57, M26, 0, M25 
 18089, KO, B9, Dark phase,22,18, 18:00:59, M26, STR.F, M25 
 18095, KO, B9, Dark phase,22,18, 18:00:56, M28, STR.F, M25 
 18096, KO, B9, Dark phase,22,18, 18:01:01, M28, STR.F, M25 
 18097, KO, B9, Dark phase,22,18, 18:01:06, M28, 0, M27 
 18098, KO, B9, Dark phase,22,18, 18:01:09, M28, 0, M25 
 18099, KO, B9, Dark phase,22,18, 18:01:12, M28, STR.F, M25 
 18100, KO, B9, Dark phase,22,18, 18:00:56, M25, STR.F, M26 
 18101, KO, B9, Dark phase,22,18, 18:01:01, M25, STR.F, M28 
 18102, KO, B9, Dark phase,22,18, 18:01:04, M25, 0, M28 
 18103, KO, B9, Dark phase,22,18, 18:00:06, M25, 0, M27 
 18105, KO, B9, Dark phase,22,18, 18:01:09, M25, STR.F, M28 
 18106, KO, B9, Dark phase,22,18, 18:01:10, M25, 0, M28 
 18107, KO, B9, Dark phase,22,18, 18:01:12, M25, STR.F, M28 
 18110, KO, B9, Dark phase,22,18, 18:01:05, M27, AGGRO, M25 
 18111, KO, B9, Dark phase,22,18, 18:01:07, M27, 0, M28 
 18112, KO, B9, Dark phase,22,18, 18:01:10, M27, 0, M28 
 18113, KO, B9, Dark phase,22,18, 18:01:12, M27, STR.F, M28 
 18114, KO, B9, Dark phase,22,18, 18:01:13, M27, 0, M28 
 18115, KO, B9, Dark phase,22,18, 18:01:18, M27, STR.F, M28 
 18117, KO, B9, Dark phase,22,18, 18:11:17, M27, STR.F, M26 
 18118, KO, B9, Dark phase,22,18, 18:11:17, M27, 0, M25 
 18119, KO, B9, Dark phase,22,18, 18:10:56, M26, 0, M28 
 18121, KO, B9, Dark phase,22,18, 18:11:00, M26, STR.F, M25 
 18122, KO, B9, Dark phase,22,18, 18:11:02, M26, 0, M25 
 18123, KO, B9, Dark phase,22,18, 18:11:05, M26, STR.F, M25 
 18124, KO, B9, Dark phase,22,18, 18:11:10, M26, 0, M28 
 18125, KO, B9, Dark phase,22,18, 18:11:17, M26, STR.F, M27 
 18126, KO, B9, Dark phase,22,18, 18:11:18, M26, 0, M25 
 18128, KO, B9, Dark phase,22,18, 18:11:04, M25, STR.F, M26 
 18129, KO, B9, Dark phase,22,18, 18:11:06, M25, 0, M26 
 18132, KO, B9, Dark phase,22,18, 18:11:19, M25, 0, M26 
 18135, KO, B9, Dark phase,22,18, 18:11:06, M28, STR.F, M26 
 18136, KO, B9, Dark phase,22,18, 18:11:17, M28, 0, M25 
 18138, KO, B9, Dark phase,22,18, 18:21:03, M26, AGGRO, M28 
 18141, KO, B9, Dark phase,22,18, 18:21:18, M26, 0, M25 
 18143, KO, B9, Dark phase,22,18, 18:21:03, M28, AGGRO, M26 
 18144, KO, B9, Dark phase,22,18, 18:21:06, M28, AGGRO, M27 
 18146, KO, B9, Dark phase,22,18, 18:21:13, M28, AGGRO, M25 
 18149, KO, B9, Dark phase,22,18, 18:21:12, M25, AGGRO, M28 
 18150, KO, B9, Dark phase,22,18, 18:21:13, M25, 0, M28 
 18152, KO, B9, Dark phase,22,18, 18:21:18, M25, 0, M26 
 18156, KO, B9, Dark phase,22,18, 18:21:06, M27, AGGRO, M28 
 18158, KO, B9, Dark phase,22,18, 18:21:18, M27, 0, M26 
 18161, KO, B9, Dark phase,22,18, 18:31:07, M25, AGGRO, M28 
 18163, KO, B9, Dark phase,22,18, 18:31:15, M25, 0, M26 
 18165, KO, B9, Dark phase,22,18, 18:30:56, M28, 0, M27 
