 , B5.genotype, B5.batch, B5.cycle, B5.day, B5.hour, B5.time_start, B5.ID.new, B5.behaviour, B5.with.who 
 8, CONT, B5, Dark phase,20,18, 18:40:57, M10, 0, M12 
 12, CONT, B5, Dark phase,20,18, 18:41:21, M12, AGGRO, M11 
 15, CONT, B5, Dark phase,20,18, 18:51:02, M12, 0, M10 
 17, CONT, B5, Dark phase,20,18, 18:51:17, M12, AGGRO, M10 
 18, CONT, B5, Dark phase,20,18, 18:51:18, M12, 0, M9 
 19, CONT, B5, Dark phase,20,18, 18:51:18, M12, 0, M9 
 21, CONT, B5, Dark phase,20,18, 18:50:59, M9, 0, M10 
 22, CONT, B5, Dark phase,20,18, 18:51:18, M9, AGGRO, M12 
 23, CONT, B5, Dark phase,20,18, 18:51:19, M9, 0, M12 
 24, CONT, B5, Dark phase,20,18, 18:50:58, M11, 0, M10 
 27, CONT, B5, Dark phase,20,18, 18:51:15, M11, 0, M10 
 28, CONT, B5, Dark phase,20,18, 18:50:55, M10, 0, M11 
 29, CONT, B5, Dark phase,20,18, 18:50:59, M10, 0, M9 
 30, CONT, B5, Dark phase,20,18, 18:51:02, M10, 0, M12 
 32, CONT, B5, Dark phase,20,18, 18:51:14, M10, AGGRO, M11 
 33, CONT, B5, Dark phase,20,18, 18:51:15, M10, 0, M11 
 36, CONT, B5, Dark phase,20,19, 19:01:11, M10, 0, M12 
 38, CONT, B5, Dark phase,20,19, 19:00:55, M12, 0, M11 
 39, CONT, B5, Dark phase,20,19, 19:00:57, M12, 0, M11 
 40, CONT, B5, Dark phase,20,19, 19:00:57, M12, 0, M11 
 41, CONT, B5, Dark phase,20,19, 19:01:11, M12, 0, M10 
 44, CONT, B5, Dark phase,20,19, 19:00:55, M11, 0, M12 
 47, CONT, B5, Dark phase,20,19, 19:10:57, M9, AGGRO, M12 
 52, CONT, B5, Dark phase,20,19, 19:10:55, M10, 0, M12 
 53, CONT, B5, Dark phase,20,19, 19:11:00, M10, 0, M9 
 54, CONT, B5, Dark phase,20,19, 19:11:09, M10, AGGRO, M12 
 55, CONT, B5, Dark phase,20,19, 19:11:11, M10, AGGRO, M9 
 57, CONT, B5, Dark phase,20,19, 19:10:55, M12, 0, M10 
 68, CONT, B5, Dark phase,20,19, 19:21:02, M12, STR.F, M11 
 78, CONT, B5, Dark phase,20,19, 19:31:21, M11, AGGRO, M12 
 81, CONT, B5, Dark phase,20,19, 19:40:55, M10, 0, M12 
 82, CONT, B5, Dark phase,20,19, 19:40:55, M12, 0, M10 
 91, CONT, B5, Dark phase,20,19, 19:51:19, M11, AGGRO, M10 
 92, CONT, B5, Dark phase,20,19, 19:51:19, M11, 0, M10 
 94, CONT, B5, Dark phase,20,19, 19:51:06, M10, AGGRO, M9 
 96, CONT, B5, Dark phase,20,19, 19:50:55, M12, 0, M11 
 98, CONT, B5, Dark phase,20,19, 19:50:55, M9, 0, M10 
 99, CONT, B5, Dark phase,20,19, 19:50:55, M11, 0, M12 
 102, CONT, B5, Dark phase,20,19, 19:51:21, M11, 0, M9 
 104, CONT, B5, Dark phase,20,20, 20:01:09, M12, 0, M10 
 105, CONT, B5, Dark phase,20,20, 20:00:55, M10, 0, M11 
 107, CONT, B5, Dark phase,20,20, 20:01:08, M10, 0, M11 
 109, CONT, B5, Dark phase,20,20, 20:01:24, M9, AGGRO, M11 
 111, CONT, B5, Dark phase,20,20, 20:10:55, M9, 0, M11 
 113, CONT, B5, Dark phase,20,20, 20:11:01, M11, 0, M9 
 122, CONT, B5, Dark phase,20,20, 20:20:55, M12, 0, M10 
 123, CONT, B5, Dark phase,20,20, 20:21:00, M10, 0, M12 
 125, CONT, B5, Dark phase,20,20, 20:21:23, M10, 0, M9 
 130, CONT, B5, Dark phase,20,20, 20:30:55, M12, STR.F, M9 
 132, CONT, B5, Dark phase,20,20, 20:31:09, M12, 0, M11 
 133, CONT, B5, Dark phase,20,20, 20:31:15, M12, 0, M10 
 134, CONT, B5, Dark phase,20,20, 20:31:19, M12, STR.G, M10 
 136, CONT, B5, Dark phase,20,20, 20:31:19, M10, 0, M12 
 139, CONT, B5, Dark phase,20,20, 20:31:00, M9, STR.F, M12 
 141, CONT, B5, Dark phase,20,20, 20:51:00, M12, 0, M10 
 142, CONT, B5, Dark phase,20,20, 20:51:05, M10, 0, M12 
 143, CONT, B5, Dark phase,20,20, 20:40:55, M11, 0, M10 
 147, CONT, B5, Dark phase,20,20, 20:50:55, M9, STR.G, M12 
 148, CONT, B5, Dark phase,20,20, 20:51:06, M9, STR.G, M10 
 149, CONT, B5, Dark phase,20,20, 20:51:08, M9, 0, M12 
 152, CONT, B5, Dark phase,20,20, 20:50:55, M10, 0, M12 
 153, CONT, B5, Dark phase,20,20, 20:51:06, M10, 0, M9 
 155, CONT, B5, Dark phase,20,20, 20:50:55, M12, 0, M9 
 156, CONT, B5, Dark phase,20,20, 20:51:08, M12, STR.G, M9 
 157, CONT, B5, Dark phase,20,20, 20:51:16, M12, 0, M9 
 158, CONT, B5, Dark phase,20,20, 20:51:22, M12, 0, M11 
 162, CONT, B5, Dark phase,20,21, 21:00:55, M10, 0, M9 
 163, CONT, B5, Dark phase,20,21, 21:01:03, M10, STR.F, M12 
 165, CONT, B5, Dark phase,20,21, 21:00:55, M9, 0, M10 
 166, CONT, B5, Dark phase,20,21, 21:01:17, M9, STR.F, M12 
 168, CONT, B5, Dark phase,20,21, 21:00:58, M12, 0, M9 
 169, CONT, B5, Dark phase,20,21, 21:01:17, M12, STR.F, M9 
 170, CONT, B5, Dark phase,20,21, 21:01:03, M12, STR.F, M10 
 171, CONT, B5, Dark phase,20,21, 21:10:55, M12, STR.F, M10 
 172, CONT, B5, Dark phase,20,21, 21:10:55, M10, STR.F, M12 
 174, CONT, B5, Dark phase,20,21, 21:11:09, M9, 0, M11 
 177, CONT, B5, Dark phase,20,21, 21:11:09, M11, 0, M9 
 179, CONT, B5, Dark phase,20,21, 21:20:55, M9, 0, M12 
 181, CONT, B5, Dark phase,20,21, 21:21:12, M9, AGGRO, M12 
 182, CONT, B5, Dark phase,20,21, 21:21:13, M9, 0, M10 
 183, CONT, B5, Dark phase,20,21, 21:21:18, M9, AGGRO, M12 
 184, CONT, B5, Dark phase,20,21, 21:21:19, M9, 0, M12 
 185, CONT, B5, Dark phase,20,21, 21:20:55, M12, 0, M9 
 186, CONT, B5, Dark phase,20,21, 21:21:08, M12, AGGRO, M11 
 190, CONT, B5, Dark phase,20,21, 21:21:06, M11, AGGRO, M9 
 191, CONT, B5, Dark phase,20,21, 21:21:08, M11, 0, M12 
 192, CONT, B5, Dark phase,20,21, 21:21:09, M11, 0, M10 
 193, CONT, B5, Dark phase,20,21, 21:21:19, M11, 0, M10 
 196, CONT, B5, Dark phase,20,21, 21:21:09, M10, 0, M11 
 200, CONT, B5, Dark phase,20,21, 21:30:55, M12, STR.F, M9 
 201, CONT, B5, Dark phase,20,21, 21:31:17, M12, 0, M9 
 202, CONT, B5, Dark phase,20,21, 21:30:55, M9, STR.F, M9 
 203, CONT, B5, Dark phase,20,21, 21:31:17, M9, 0, M9 
 204, CONT, B5, Dark phase,20,21, 21:40:55, M10, 0, M12 
 205, CONT, B5, Dark phase,20,21, 21:51:13, M10, AGGRO, M11 
 206, CONT, B5, Dark phase,20,21, 21:51:18, M10, STR.F, M12 
 208, CONT, B5, Dark phase,20,21, 21:51:20, M9, 0, M11 
 211, CONT, B5, Dark phase,20,21, 21:51:20, M11, 0, M9 
 212, CONT, B5, Dark phase,20,21, 21:40:55, M12, 0, M10 
 213, CONT, B5, Dark phase,20,21, 21:51:18, M12, STR.F, M10 
 215, CONT, B5, Dark phase,20,21, 21:50:55, M12, 0, M9 
 216, CONT, B5, Dark phase,20,21, 21:50:58, M12, 0, M9 
 217, CONT, B5, Dark phase,20,21, 21:51:02, M12, 0, M9 
 218, CONT, B5, Dark phase,20,21, 21:51:14, M12, AGGRO, M9 
 219, CONT, B5, Dark phase,20,21, 21:51:16, M12, 0, M9 
 220, CONT, B5, Dark phase,20,21, 21:50:55, M9, 0, M12 
 221, CONT, B5, Dark phase,20,21, 21:50:58, M9, AGGRO, M12 
 222, CONT, B5, Dark phase,20,21, 21:51:02, M9, 0, M12 
 223, CONT, B5, Dark phase,20,21, 21:51:14, M9, 0, M12 
 224, CONT, B5, Dark phase,20,21, 21:51:16, M9, 0, M12 
 225, CONT, B5, Dark phase,20,21, 21:50:55, M11, 0, M10 
 227, CONT, B5, Dark phase,20,21, 21:51:06, M11, 0, M9 
 228, CONT, B5, Dark phase,20,21, 21:51:14, M11, 0, M12 
 229, CONT, B5, Dark phase,20,21, 21:51:16, M11, 0, M9 
 234, CONT, B5, Dark phase,20,22, 22:10:55, M12, 0, M9 
 235, CONT, B5, Dark phase,20,22, 22:10:57, M12, STR.F, M9 
 239, CONT, B5, Dark phase,20,22, 22:10:55, M9, 0, M12 
 240, CONT, B5, Dark phase,20,22, 22:10:57, M9, STR.F, M12 
 241, CONT, B5, Dark phase,20,22, 22:11:01, M9, 0, M11 
 242, CONT, B5, Dark phase,20,22, 22:10:55, M11, 0, M9 
 247, CONT, B5, Dark phase,20,22, 22:21:09, M11, 0, M9 
 248, CONT, B5, Dark phase,20,22, 22:20:55, M9, STR.F, M12 
 249, CONT, B5, Dark phase,20,22, 22:20:55, M12, STR.F, M9 
 251, CONT, B5, Dark phase,20,22, 22:31:01, M9, AGGRO, M12 
 252, CONT, B5, Dark phase,20,22, 22:31:14, M9, STR.G, M12 
 254, CONT, B5, Dark phase,20,22, 22:31:01, M12, 0, M9 
 255, CONT, B5, Dark phase,20,22, 22:31:14, M12, 0, M9 
 259, CONT, B5, Light phase,21,5, 05:50:57, M11, 0, M12 
 261, CONT, B5, Light phase,21,5, 05:50:57, M12, 0, M11 
 262, CONT, B5, Light phase,21,5, 05:50:57, M10, AFFI, M12 
 264, CONT, B5, Light phase,21,6, 06:00:57, M10, STR.G, M11 
 265, CONT, B5, Light phase,21,6, 06:01:08, M10, 0, M11 
 266, CONT, B5, Light phase,21,6, 06:01:12, M10, STR.G, M11 
 267, CONT, B5, Light phase,21,6, 06:00:57, M12, 0, M11 
 268, CONT, B5, Light phase,21,6, 06:00:57, M10, 0, M10 
 269, CONT, B5, Light phase,21,6, 06:01:08, M10, 0, M10 
 270, CONT, B5, Light phase,21,6, 06:01:12, M10, 0, M10 
 272, CONT, B5, Light phase,21,6, 06:11:10, M12, 0, M11 
 273, CONT, B5, Light phase,21,6, 06:10:57, M11, 0, M10 
 274, CONT, B5, Light phase,21,6, 06:10:57, M10, 0, M9 
 275, CONT, B5, Light phase,21,6, 06:10:57, M9, AFFI, M10 
 279, CONT, B5, Light phase,21,6, 06:20:57, M10, 0, M9 
